company,address,address2,city,state,scf,zip,zip4,mailscore,sic1code,sic1,sic2code,sic2,sic3code,sic3,sic4code,sic4
MOUNTAIN EMPIRE COMICS,31 6TH ST,,BRISTOL,TN,376,37620,2212,3,59429905,COMIC BOOKS,,,,,,
STEVE RARE COMIC AND COLLECTAB,310 W COPELAND DR,,POWELL,TN,378,37849,3323,3,59429905,COMIC BOOKS,,,,,,
BOULEVARD COMICS,311 TUSCULUM BLVD,,GREENEVILLE,TN,377,37745,3997,4,59429905,COMIC BOOKS,,,,,,
GREENEVILLE COMICS & COLLECTIB,360 E ANDREW JOHNSON HWY,,GREENEVILLE,TN,377,37745,3576,3,59429905,COMIC BOOKS,59999900,,59479903,,,
COMIC EXCHANGE,3711 CHAPMAN HWY,,KNOXVILLE,TN,379,37920,3060,3,59429905,COMIC BOOKS,,,,,,
DEWAYNE'S WORLD OF COMICS & GA,459 E SULLIVAN ST,,KINGSPORT,TN,376,37660,4405,3,59429905,COMIC BOOKS,59450104,"MODELS, TOY AND HOBBY",,,,
S & G COMICS & COLLECTIBLES,464 FORKS OF THE RIVER PKWY,,SEVIERVILLE,TN,378,37862,3450,3,59429905,COMIC BOOKS,,,,,,
COMICS & COLLECTIBLES,4730 POPLAR AVE STE 2,,MEMPHIS,TN,381,38117,4447,3,59429905,COMIC BOOKS,,,,,,
B & M AMUSEMENT,5036 HIGHWAY 58 STE D,,CHATTANOOGA,TN,374,37416,1843,3,59429905,COMIC BOOKS,,,,,,
IRON CLAD COMICS,504 W MAIN ST,,SEVIERVILLE,TN,378,37862,3333,4,59429905,COMIC BOOKS,,,,,,
APPLE-HEAD COMICS,5126 ATKINS DR,,MEMPHIS,TN,381,38109,7104,3,59429905,COMIC BOOKS,,,,,,
WESTERN RAMA COMIC LLC,560 JAMESTOWN RD,,COOKEVILLE,TN,385,38501,3065,3,59429905,COMIC BOOKS,59999900,,59420000,BOOK STORES,,
BOOKS OF FAME,6430 LOST OAK DR,,MEMPHIS,TN,381,38115,5616,4,59429905,COMIC BOOKS,,,,,,
COMIC HOUND,6743 RINGGOLD RD STE B,,CHATTANOOGA,TN,374,37412,4247,3,51929905,COMIC BOOKS,,,,,,
RANDY CROSS,6767 JUBILEE CENTER WAY # 103,,KNOXVILLE,TN,379,37912,1263,3,59429905,COMIC BOOKS,,,,,,
SPORT CARD INVESTMENTS,6931 MAYNARDVILLE PIKE,,KNOXVILLE,TN,379,37918,5339,4,62829902,INVESTMENT ADVISORY SERVICE,59429905,COMIC BOOKS,,,,
GS GALAXY COMICS,710 W MAIN ST,,GREENEVILLE,TN,377,37743,4728,3,59429905,COMIC BOOKS,,,,,,
SOLOH SUN COMICS,788 AIRWAYS CIR,,NASHVILLE,TN,372,37214,3659,3,59429905,COMIC BOOKS,,,,,,
TIMELY TREASURES COLLECTIBLES,810 NW BROAD ST,,MURFREESBORO,TN,371,37129,2776,4,59429905,COMIC BOOKS,59470100,GIFTS AND NOVELTIES,,,,
SNAKE EYE COMICS,9317 KINGSTON PIKE,,KNOXVILLE,TN,379,37922,2381,3,59429905,COMIC BOOKS,,,,,,
NEUTRON CITY COMICS,992 DAVIDSON DR,,NASHVILLE,TN,372,37205,1051,4,59429905,COMIC BOOKS,27210000,PERIODICALS,59429905,COMIC BOOKS,,
MADNESS GAMES & COMICS LLC,1004 DALLAS DR,,DENTON,TX,762,76205,5270,4,59429905,COMIC BOOKS,,,,,,
DUNCANVILLE BOOKSTORE,101 W CAMP WISDOM RD STE J,,DUNCANVILLE,TX,751,75116,3300,3,59420000,BOOK STORES,59429905,COMIC BOOKS,,,,
PERIL COMICS,10107 REDFISH CAVERN,,SAN ANTONIO,TX,782,78245,2853,3,59429905,COMIC BOOKS,,,,,,
PAYLESS COMICS,1020 W DREW ST,,FORT WORTH,TX,761,76110,6119,3,59429905,COMIC BOOKS,,,,,,
MORE FUN INC,103 W HICKORY ST,,DENTON,TX,762,76201,4115,3,51929905,COMIC BOOKS,,,,,,
